ADM_RATE,SAT_AVG,UGDS,COSTT4_A,C150_4,UGDS_WOMEN,STUFACR,MD_EARN_WNE_1YR,STATE
0.9164,1207.0,2826.0,62841.0,0.6327,0.5676,12.0,32628.0,Florida
0.4492,1112.0,5296.0,40990.0,0.5143,0.5904,26.0,33075.0,Florida
0.5355,1184.0,9838.0,48220.0,0.6212,0.6081,18.0,36874.0,Florida
0.4301,990.0,341.0,23379.0,0.1786,0.437,15.0,27788.0,Florida
0.5313,975.0,762.0,35708.0,0.402,0.4777,13.0,35831.0,Florida
0.5281,1164.0,8881.0,18622.0,0.5201,0.5758,21.0,46608.0,Florida
0.4656,1004.0,794.0,33344.0,0.2895,0.5214,12.0,31356.0,Georgia
0.5824,970.0,3376.0,38413.0,0.4155,0.7636,18.0,24084.0,Georgia
0.699,1267.0,2170.0,53663.0,0.7243,0.6364,12.0,36068.0,Georgia
0.8911,1107.0,1310.0,43858.0,0.4712,0.9282,9.0,42243.0,Georgia
0.7852,1043.0,5986.0,20415.0,0.4272,0.6041,16.0,39465.0,Georgia
0.8854,1222.0,840.0,50701.0,0.7287,0.5321,11.0,30457.0,Georgia
0.1305,1480.0,7050.0,72884.0,0.9004,0.5786,9.0,57366.0,Georgia
0.7226,921.0,2635.0,20160.0,0.4488,0.6281,21.0,27670.0,Georgia
0.1596,1423.0,16566.0,29364.0,0.9192,0.4011,14.0,80777.0,Georgia
0.8558,1082.0,2018.0,19456.0,0.3396,0.6566,16.0,42993.0,Georgia
0.8768,1176.0,5489.0,28032.0,0.6209,0.6422,16.0,42675.0,Georgia
0.9051,1091.0,22404.0,23023.0,0.5362,0.5751,22.0,40570.0,Georgia
0.9999,1165.0,28415.0,27211.0,0.5629,0.6038,27.0,35791.0,Georgia
0.3998,1386.0,30032.0,27510.0,0.8784,0.5795,17.0,45220.0,Georgia
0.9591,997.0,908.0,38970.0,0.4022,0.5154,14.0,35615.0,Georgia
0.7541,1338.0,4699.0,53755.0,0.7358,0.6438,13.0,46646.0,Georgia
0.67,1129.0,1213.0,42329.0,0.4796,0.6678,9.0,46237.0,Georgia
0.812,1072.0,1183.0,34357.0,0.3716,0.5554,15.0,37684.0,Georgia
0.2884,1012.0,688.0,26057.0,0.4787,0.5683,12.0,42128.0,Georgia
0.6882,1110.0,838.0,34382.0,0.3527,0.5239,17.0,34901.0,Georgia
0.7637,1044.0,8421.0,20495.0,0.4099,0.6715,19.0,36469.0,Georgia
0.6216,1134.0,574.0,36613.0,0.563,1.0,9.0,38089.0,Georgia
0.697,1058.0,8572.0,23563.0,0.4234,0.6482,19.0,37303.0,Georgia
0.9217,1040.0,2630.0,20727.0,0.427,0.6498,13.0,31376.0,Hawaii
0.6998,1175.0,13839.0,23192.0,0.5891,0.6021,14.0,39900.0,Hawaii
0.8532,1183.0,2726.0,50487.0,0.4249,0.668,18.0,35085.0,Hawaii
0.8138,1119.0,6861.0,21553.0,0.5925,0.5088,16.0,36808.0,Idaho
0.5629,1181.0,1118.0,45560.0,0.5606,0.5081,12.0,29582.0,Idaho
0.8815,1112.0,1172.0,44443.0,0.6255,0.5776,14.0,38997.0,Idaho
0.8642,1062.0,4076.0,35882.0,0.5536,0.6634,20.0,45433.0,Illinois
0.7586,1205.0,4319.0,49471.0,0.7576,0.5047,12.0,52037.0,Illinois
0.0648,1535.0,7558.0,81531.0,0.959,0.4767,5.0,69111.0,Illinois
0.7174,1036.0,4616.0,24506.0,0.5074,0.6131,14.0,36775.0,Illinois
0.7129,1145.0,2791.0,50133.0,0.6841,0.6188,13.0,41680.0,Illinois
0.5205,951.0,2698.0,20806.0,0.1576,0.6353,10.0,39258.0,Illinois
0.7954,1008.0,828.0,42166.0,0.4846,0.4529,11.0,33482.0,Illinois
0.788,1212.0,22011.0,24382.0,0.6226,0.5318,19.0,43373.0,Illinois
0.8002,1168.0,2174.0,45304.0,0.4665,0.4986,13.0,47808.0,Illinois
0.5966,1422.0,33889.0,31102.0,0.8488,0.4615,21.0,50616.0,Illinois
0.6611,1328.0,2889.0,65257.0,0.7143,0.3219,12.0,63728.0,Illinois
0.9154,1125.0,17632.0,31753.0,0.6727,0.5703,19.0,43353.0,Illinois
0.624,1054.0,923.0,40750.0,0.669,0.5374,11.0,37529.0,Illinois
0.6443,1271.0,1657.0,63691.0,0.7303,0.5836,12.0,35896.0,Illinois
0.7126,1147.0,3799.0,43142.0,0.6046,0.5088,13.0,44947.0,Illinois
0.7698,1311.0,11739.0,53851.0,0.7197,0.6821,14.0,47083.0,Illinois
1.0,980.0,514.0,38345.0,0.5556,0.8872,8.0,60435.0,Illinois
0.7481,1106.0,1719.0,52565.0,0.5478,0.5631,9.0,36721.0,Illinois
0.684,1156.0,2384.0,54526.0,0.6444,0.5155,13.0,37908.0,Illinois
0.6714,1055.0,1834.0,39934.0,0.6117,0.5943,10.0,43926.0,Illinois
0.0697,1529.0,8691.0,81058.0,0.9523,0.5338,6.0,66776.0,Illinois
0.6055,1105.0,2599.0,48838.0,0.6384,0.5725,15.0,49979.0,Illinois
0.598,1162.0,966.0,43004.0,0.4173,0.4938,14.0,38217.0,Illinois
0.6678,1014.0,956.0,43892.0,0.3171,0.5617,10.0,44133.0,Illinois
0.9229,1030.0,2585.0,45697.0,0.3951,0.6058,11.0,39256.0,Illinois
0.8094,1060.0,2034.0,43227.0,0.5217,0.6888,10.0,38800.0,Illinois
0.6823,1060.0,1519.0,43586.0,0.6464,0.6899,13.0,57402.0,Illinois
0.7949,1140.0,2441.0,23892.0,0.5341,0.5289,12.0,42815.0,Illinois
0.9515,1086.0,7973.0,29247.0,0.4531,0.4825,10.0,40092.0,Illinois
0.9807,1072.0,9903.0,24338.0,0.5179,0.5733,15.0,44800.0,Illinois
0.7624,1122.0,832.0,38493.0,0.6684,0.6478,9.0,42693.0,Illinois
0.9142,1038.0,476.0,47164.0,0.4459,0.4013,12.0,37624.0,Illinois
0.8625,1351.0,2301.0,51664.0,0.876,0.5506,11.0,35783.0,Illinois
0.6245,1070.0,1137.0,46132.0,0.6295,0.5409,9.0,37439.0,Indiana
0.6817,1124.0,13896.0,24343.0,0.6795,0.6136,14.0,39543.0,Indiana
0.8055,1278.0,4388.0,62950.0,0.8377,0.5957,11.0,46528.0,Indiana
0.6908,1259.0,653.0,61735.0,0.7262,0.5436,7.0,20733.0,Indiana
0.7495,1179.0,1554.0,52225.0,0.6932,0.6107,10.0,41818.0,Indiana
0.9465,1092.0,880.0,47871.0,0.6125,0.4614,11.0,37759.0,Indiana
0.9285,1163.0,725.0,44979.0,0.6477,0.6083,9.0,42500.0,Indiana
0.8316,1123.0,1426.0,38720.0,0.707,0.6101,20.0,36036.0,Indiana
0.7877,1108.0,1002.0,38236.0,0.686,0.5958,12.0,36031.0,Indiana
0.832,1114.0,5708.0,18756.0,0.3829,0.4923,13.0,41504.0,Indiana
0.8361,1152.0,18707.0,21348.0,0.5661,0.5939,13.0,45394.0,Indiana
0.9641,1139.0,6031.0,19946.0,0.5024,0.65,16.0,40702.0,Indiana
0.9035,1096.0,2612.0,11659.0,0.4273,0.6482,15.0,38480.0,Indiana
0.8894,1085.0,3791.0,15126.0,0.3787,0.6494,12.0,40673.0,Indiana
0.8504,1298.0,33995.0,26051.0,0.8085,0.4987,17.0,45746.0,Indiana
0.8548,1056.0,2941.0,13200.0,0.3765,0.7344,14.0,41302.0,Indiana
0.9005,1115.0,3427.0,13317.0,0.3873,0.5982,12.0,40852.0,Indiana
0.8051,1106.0,2639.0,14685.0,0.4265,0.6601,13.0,41707.0,Indiana
0.9191,1109.0,2268.0,40361.0,0.7116,0.6362,12.0,52655.0,Indiana
0.1507,1490.0,8950.0,76883.0,0.959,0.4842,9.0,65627.0,Indiana
0.7262,1061.0,584.0,38495.0,0.6329,0.4983,12.0,41762.0,Indiana
0.774,1385.0,2075.0,71664.0,0.8674,0.2453,11.0,75770.0,Indiana
0.994,1066.0,1724.0,41644.0,0.5583,0.703,11.0,46632.0,Indiana
0.7032,1048.0,784.0,43387.0,0.6232,0.8253,10.0,38609.0,Indiana
0.8307,1195.0,1375.0,61344.0,0.7446,1.0,9.0,39366.0,Indiana
0.7852,1159.0,2254.0,48017.0,0.6362,0.3682,16.0,48342.0,Indiana
0.6598,1094.0,1451.0,49252.0,0.6278,0.6292,11.0,38359.0,Iowa
0.8878,1065.0,702.0,50561.0,0.5449,0.4487,8.0,45076.0,Iowa
0.7323,1199.0,1411.0,47712.0,0.741,0.4713,14.0,43424.0,Iowa
0.6907,1311.0,2857.0,59043.0,0.7815,0.6031,11.0,47891.0,Iowa
0.5614,1162.0,297.0,28831.0,0.56,0.5118,15.0,23985.0,Iowa
0.6662,1038.0,922.0,45160.0,0.474,0.5184,13.0,41525.0,Iowa
0.9955,1032.0,1532.0,41358.0,0.5075,0.5202,12.0,42058.0,Iowa
0.9112,1205.0,25537.0,21746.0,0.7605,0.4384,18.0,47452.0,Iowa
0.819,949.0,717.0,47506.0,0.225,0.4156,12.0,35489.0,Iowa
0.8621,1236.0,21198.0,25376.0,0.7372,0.5578,15.0,44564.0,Iowa
0.8579,1147.0,7812.0,20990.0,0.6891,0.6106,16.0,40587.0,Iowa
0.8302,1163.0,1030.0,46659.0,0.7077,0.5068,12.0,42463.0,Iowa
0.7241,1147.0,2220.0,47560.0,0.6443,0.5468,12.0,47531.0,Iowa
0.9083,1166.0,1167.0,55610.0,0.6894,0.5304,11.0,41664.0,Iowa
0.6492,1045.0,2323.0,46992.0,0.3855,0.5932,12.0,44821.0,Iowa
0.5768,978.0,1263.0,38839.0,0.3214,0.4711,17.0,38868.0,Iowa
0.9906,1064.0,1206.0,45984.0,0.6209,0.5614,12.0,51839.0,Kansas
0.985,1243.0,2073.0,47613.0,0.628,0.5075,13.0,39032.0,Kansas
0.5767,1065.0,978.0,41415.0,0.4024,0.5092,12.0,42884.0,Kansas
0.925,1219.0,18427.0,25021.0,0.6603,0.532,17.0,44363.0,Kansas
0.7165,1085.0,865.0,41922.0,0.6335,0.6335,13.0,42788.0,Kansas
0.6465,1035.0,1008.0,49211.0,0.4474,0.5367,10.0,56718.0,Kansas
0.6657,966.0,786.0,48695.0,0.3355,0.3969,11.0,46144.0,Kansas
0.9364,1070.0,4292.0,19036.0,0.5234,0.4995,15.0,40848.0,Kansas
