ADM_RATE,SAT_AVG,C150_4,UGDS_WOMEN,STUFACR
0.9955,1032.0,0.5075,0.5202,12.0
0.9112,1205.0,0.7605,0.4384,18.0
0.819,949.0,0.225,0.4156,12.0
0.8621,1236.0,0.7372,0.5578,15.0
0.8579,1147.0,0.6891,0.6106,16.0
0.8302,1163.0,0.7077,0.5068,12.0
0.7241,1147.0,0.6443,0.5468,12.0
0.9083,1166.0,0.6894,0.5304,11.0
0.6492,1045.0,0.3855,0.5932,12.0
0.5768,978.0,0.3214,0.4711,17.0
0.9906,1064.0,0.6209,0.5614,12.0
0.985,1243.0,0.628,0.5075,13.0
0.5767,1065.0,0.4024,0.5092,12.0
0.925,1219.0,0.6603,0.532,17.0
0.7165,1085.0,0.6335,0.6335,13.0
0.6465,1035.0,0.4474,0.5367,10.0
0.6657,966.0,0.3355,0.3969,11.0
0.9364,1070.0,0.5234,0.4995,15.0
0.6913,1015.0,0.4045,0.3485,10.0
0.474,1095.0,0.4317,0.3773,10.0
0.9106,1132.0,0.4767,0.5529,19.0
0.855,1191.0,0.6521,0.6312,12.0
0.5313,1094.0,0.4932,0.6481,12.0
0.8503,1070.0,0.4804,0.6586,20.0
0.9835,1084.0,0.4777,0.5916,15.0
0.9401,1232.0,0.6815,0.5693,16.0
0.5768,984.0,0.3645,0.3307,12.0
0.7469,1182.0,0.6248,0.5452,13.0
0.7774,1098.0,0.5833,0.6712,15.0
0.8516,1156.0,0.5587,0.6179,16.0
0.8029,1146.0,0.478,0.5969,17.0
0.8028,1151.0,0.4191,0.4467,18.0
0.8978,1045.0,0.4246,0.7042,10.0
0.5643,1017.0,0.3709,0.4665,13.0
0.6313,1197.0,0.5669,0.5778,8.0
0.7246,942.0,0.2885,0.6386,24.0
0.7086,1247.0,0.6899,0.5426,22.0
0.9073,1134.0,0.3775,0.6148,24.0
0.7609,1065.0,0.2749,0.4465,11.0
0.6583,1203.0,0.5887,0.4416,20.0
0.6876,1116.0,0.4216,0.6142,19.0
0.8058,1089.0,0.389,0.5129,19.0
0.9719,1135.0,0.5025,0.6352,16.0
0.6989,1108.0,0.5353,0.6629,18.0
0.9628,1015.0,0.4412,0.7298,19.0
0.75,1000.0,0.2976,0.8377,10.0
0.5453,1065.0,0.3867,0.8377,10.0
0.5888,943.0,0.3195,0.6692,20.0
0.7835,1105.0,0.5013,0.5783,19.0
0.0963,1431.0,0.8597,0.612,8.0
0.9541,1119.0,0.5,0.7671,13.0
0.9646,1180.0,0.5679,0.4844,16.0
0.8058,1125.0,0.6844,0.637,8.0
0.8699,1112.0,0.3449,0.6022,13.0
0.8943,1040.0,0.3796,0.6054,11.0
0.8704,932.0,0.4186,0.6115,18.0
0.4792,920.0,0.2645,0.781,10.0
0.8605,1089.0,0.4758,0.5512,13.0
0.8234,1251.0,0.5851,0.6528,8.0
0.812,1312.0,0.7095,0.4554,17.0
0.5203,1426.0,0.8765,0.492,18.0
0.871,971.0,0.4392,0.6166,16.0
0.7733,1256.0,0.7277,0.5793,10.0
0.5315,1376.0,0.7549,0.4715,8.0
0.8792,1134.0,0.7228,0.5954,16.0
0.5787,1025.0,0.4243,0.5855,17.0
0.2535,1412.0,0.9371,0.4297,16.0
0.7541,1112.0,0.5056,1.0,12.0
0.6094,1335.0,0.8798,0.3919,12.0
0.1904,1485.0,0.9078,0.5287,14.0
0.1865,1447.0,0.8935,0.5802,11.0
0.3914,1455.0,0.8753,0.5938,10.0
0.8638,1108.0,0.6244,0.5929,19.0
0.4803,1316.0,0.7895,0.579,9.0
0.8032,1124.0,0.545,0.5975,12.0
0.6408,1135.0,0.5688,0.4827,10.0
0.4528,1325.0,0.7877,0.6441,13.0
0.7388,1227.0,0.7027,0.7746,13.0
0.7235,952.0,0.3561,0.6575,12.0
0.8527,1082.0,0.5711,0.5414,13.0
0.838,1092.0,0.5053,0.5638,11.0
0.7743,1267.0,0.7208,0.6048,11.0
0.0401,1534.0,0.9674,0.5081,7.0
0.8506,1217.0,0.6667,0.6391,12.0
0.8457,1261.0,0.6903,0.4114,18.0
0.6553,1362.0,0.8371,0.5116,18.0
0.789,1182.0,0.4902,0.5826,15.0
0.9771,1245.0,0.6727,0.7563,12.0
0.523,1430.0,0.8496,1.0,10.0
0.8477,1076.0,0.5759,0.3347,16.0
0.1838,1500.0,0.9057,0.5413,15.0
0.6792,1123.0,0.6813,0.7675,11.0
0.8353,1268.0,0.707,1.0,9.0
0.2991,1456.0,0.9097,0.9992,9.0
0.769,1222.0,0.7308,0.5063,11.0
0.9222,1144.0,0.5413,0.5158,15.0
0.8803,1188.0,0.6032,0.5882,13.0
0.1143,1506.0,0.9381,0.5527,10.0
0.8954,1241.0,0.7175,0.2175,16.0
0.8988,1209.0,0.6314,0.4226,13.0
0.9435,1084.0,0.6057,0.5561,21.0
0.8932,1113.0,0.609,0.617,14.0
0.7599,1064.0,0.5269,0.4658,15.0
0.8151,1180.0,0.7159,0.5125,10.0
0.8904,1092.0,0.6033,0.574,10.0
0.7506,1246.0,0.7729,0.5258,12.0
0.7708,1120.0,0.6167,0.6072,17.0
0.7587,1059.0,0.5098,0.3905,18.0
0.6281,1085.0,0.5132,0.4849,10.0
0.9324,1172.0,0.668,0.6541,11.0
0.8461,1061.0,0.4821,0.6118,15.0
0.8477,1047.0,0.4771,0.5235,15.0
0.8559,1257.0,0.6959,0.2086,12.0
0.9132,1109.0,0.5897,0.6179,15.0
0.2368,1441.0,0.8757,0.4923,8.0
0.5226,1034.0,0.6404,0.6627,11.0
0.8325,1220.0,0.8207,0.5158,16.0
0.8575,1256.0,0.691,0.2896,13.0
0.6877,1180.0,0.5631,0.4617,16.0
0.7386,1141.0,0.356,0.6423,14.0
0.9209,1117.0,0.5608,0.5779,17.0
0.885,1019.0,0.4412,0.4177,15.0
0.7781,1069.0,0.4248,0.6417,16.0
0.6326,1155.0,0.5576,0.5926,14.0
0.8281,1122.0,0.5627,0.4976,16.0
0.7637,1074.0,0.5807,0.558,13.0
0.7495,1120.0,0.4759,0.5735,16.0
0.8868,1188.0,0.7431,0.6057,11.0
0.72,1150.0,0.7423,0.5559,12.0
0.9137,1187.0,0.7485,0.5068,12.0
0.7643,1140.0,0.649,0.6379,13.0
0.6948,1120.0,0.5183,0.5363,21.0
0.7323,1370.0,0.8421,0.5397,17.0
0.7954,1220.0,0.6467,0.4854,16.0
0.7171,1120.0,0.5692,0.622,18.0
0.9432,1085.0,0.4719,0.5101,16.0
0.8865,1213.0,0.7871,0.0,11.0
0.7369,1205.0,0.6516,0.6926,10.0
0.7553,1222.0,0.781,0.4841,14.0
0.7489,1133.0,0.5941,0.9568,9.0
